;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;3133
AÇAILÂNDIA;2985;77;;4.052;168.635;141860;;10 a 19 anos;9620
AFONSO CUNHA;134;2;;;;;;20 a 29 anos;22640
ÁGUA DOCE DO MARANHÃO;593;5;;CASOS NOVOS;;;;30 a 39 anos;30001
ALCÂNTARA;40;6;;Grande Ilha;89;;;40 a 49 anos;23906
ALDEIAS ALTAS;788;4;;Imperatriz;67;;;50 a 59 anos;16574
ALTAMIRA DO MARANHÃO;262;5;;Demais Regiões;1.133;;;60 a 70 anos;12138
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9858
ALTO ALEGRE DO PINDARÉ;1319;17;;;;;;Não informado;13990
ALTO PARNAÍBA;173;1;;CASOS CONFIRMADOS;;;;TOTAL;141860
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;830;16;;Ativos;8130;Isolamento Domiciliar ;7661;;
ANAJATUBA;324;8;;;;Internação Enfermaria;272;Rede Pública;230
ANAPURUS;709;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;197;Rede Pública;171
ARAGUANÃ;495;2;;;;;;Rede Privada;26
ARAIOSES;542;10;;Óbitos;3315;;;; 
ARAME;760;7;;Recuperados;130415;;;;
ARARI;195;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3120;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;144;2;;HOMEM;63743;45%;;Leitos ocupados;73
BACURI;412;3;;MULHER;78117;55%;;Leitos livres;309
BACURITUBA;39;0;;;;;;% de ocupação;19,11%
BALSAS;4405;27;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3144;24;;3244;3159;59;;Total de leitos UTI;152
BARREIRINHAS;613;23;;;;;;Leitos ocupados UTI;56
BELA VISTA DO MARANHÃO;125;3;;;;;;Leitos livres;96
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;36,84%
BENEDITO LEITE;97;0;;LABORATÓRIO PÚBLICO;3005;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;129;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;310.041;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;313175;;;Total de leitos;578
BOM JARDIM;805;22;;;;;;Leitos ocupados;104
BOM JESUS DAS SELVAS;1476;10;;;;;;Leitos livres;474
BOM LUGAR;205;1;;ÓBITOS DE COVID-19;;;;% de ocupação;17,99%
BREJO;638;18;;;;;;;
BREJO DE AREIA;196;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;500;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;247;0;;10 a 19 anos;15;;;Leitos ocupados UTI;70
BURITICUPU;2093;4;;20 a 29 anos;32;;;Leitos livres;145
BURITIRANA;235;6;;30 a 39 anos;107;;;% de ocupação UTI;32,56%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;189;;;;
CAJAPIÓ;5;2;;50 a 59 anos;352;;;IMPERATRIZ;
CAJARI;122;4;;60 a 69 anos;768;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;340;4;;Mais de 70 anos;1833;;;Total de leitos;81
CÂNDIDO MENDES;39;4;;TOTAL;3315;;;Leitos ocupados;53
CANTANHEDE;381;3;;;;;;Leitos livres;28
CAPINZAL DO NORTE;339;1;;;;;;% de ocupação;65,43%
CAROLINA;306;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;314;17;;HOMEM;2037;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3705;70;;MULHER;1278;38%;;Total de leitos UTI;54
CEDRAL;116;0;;;;;;Leitos ocupados UTI;45
CENTRAL DO MARANHÃO;21;1;;;;;;Leitos livres;9
CENTRO DO GUILHERME;330;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;83,33%
CENTRO NOVO DO MARANHÃO;597;7;;COM COMORBIDADES ;2805;85%;;;
CHAPADINHA;2664;44;;SEM COMORBIDADES ;510;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;280;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1495;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1416;26;;NEUROLÓGICO;188;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;125;;;RAÇA/COR;
COROATÁ;955;10;;PNEUMOPATIA;48;;;AMARELA;26.514
CURURUPU;490;7;;CARDIOPATIA;405;;;BRANCA;14.877
DAVINÓPOLIS;239;7;;DOENÇA RENAL CRÔNICA;190;;;INDIGENA;976
DOM PEDRO;285;2;;DIABETES MELITUS;1267;;;PARDA;52.900
DUQUE BACELAR;332;7;;HIPERTENSÃO ARTERIAL;1829;;;PRETA;5.264
ESPERANTINÓPOLIS;617;13;;SEM COMORBIDADES;510;;;SEM INFORMAÇÃO;41.329
ESTREITO;1504;7;;OBESIDADE;143;;;TOTAL;141.860
FEIRA NOVA DO MARANHÃO;343;2;;OUTROS;449;;;;
FERNANDO FALCÃO;728;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;560;1;;;;;;PARDA;1628
FORTALEZA DOS NOGUEIRAS;472;1;;;;;;BRANCA;401
FORTUNA;402;1;;;;;;PRETA;223
GODOFREDO VIANA;83;3;;;;;;AMARELA;209
GONÇALVES DIAS;310;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;249;5;;;;;;TOTAL;3.315
GOVERNADOR EUGÊNIO BARROS;189;0;;;;;;;
GOVERNADOR LUIZ ROCHA;102;0;;;;;;;
GOVERNADOR NEWTON BELLO;444;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2229;31;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;546;5;;;;;;;
ICATU;184;6;;;;;;;
IGARAPÉ DO MEIO;241;9;;;;;;;
IGARAPÉ GRANDE;941;8;;;;;;;
IMPERATRIZ;5098;248;;;;;;;
ITAIPAVA DO GRAJAÚ;414;2;;;;;;;
ITAPECURU-MIRIM;679;10;;;;;;;
ITINGA DO MARANHÃO;525;11;;;;;;;
JATOBÁ;55;4;;;;;;;
JENIPAPO DOS VIEIRAS;554;8;;;;;;;
JOÃO LISBOA;227;9;;;;;;;
JOSELÂNDIA;391;0;;;;;;;
JUNCO DO MARANHÃO;167;0;;;;;;;
LAGO DA PEDRA;1160;43;;;;;;;
LAGO DO JUNCO;182;1;;;;;;;
LAGO DOS RODRIGUES;318;7;;;;;;;
LAGO VERDE;482;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;107;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;616;6;;;;;;;
LORETO;212;2;;;;;;;
LUÍS DOMINGUES;66;1;;;;;;;
MAGALHÃES DE ALMEIDA;390;4;;;;;;;
MARACAÇUMÉ;479;3;;;;;;;
MARAJÁ DO SENA;145;3;;;;;;;
MARANHÃOZINHO;419;3;;;;;;;
MATA ROMA;344;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;328;4;;;;;;;
MATÕES DO NORTE;202;1;;;;;;;
MILAGRES DO MARANHÃO;155;1;;;;;;;
MIRADOR;548;3;;;;;;;
MIRANDA DO NORTE;137;9;;;;;;;
MIRINZAL;126;6;;;;;;;
MONÇÃO;355;15;;;;;;;
MONTES ALTOS;303;3;;;;;;;
MORROS;139;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;72;0;;;;;;;
NOVA IORQUE;26;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;455;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;539;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;352;4;;;;;;;
PARNARAMA;410;0;;;;;;;
PASSAGEM FRANCA;184;0;;;;;;;
PASTOS BONS;249;2;;;;;;;
PAULINO NEVES;152;2;;;;;;;
PAULO RAMOS;772;10;;;;;;;
PEDREIRAS;1481;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;217;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;329;3;;;;;;;
PINDARÉ-MIRIM;572;11;;;;;;;
PINHEIRO;1729;32;;;;;;;
PIO XII;798;6;;;;;;;
PIRAPEMAS;246;3;;;;;;;
POÇÃO DE PEDRAS;759;2;;;;;;;
PORTO FRANCO;678;8;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1249;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;219;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;51;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;127;13;;;;;;;
RIACHÃO;256;6;;;;;;;
RIBAMAR FIQUENE;138;8;;;;;;;
ROSÁRIO;375;11;;;;;;;
SAMBAÍBA;181;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1253;6;;;;;;;
SANTA INÊS;4102;71;;;;;;;
SANTA LUZIA;2401;16;;;;;;;
SANTA LUZIA DO PARUÁ;396;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;440;14;;;;;;;
SANTA RITA;254;13;;;;;;;
SANTANA DO MARANHÃO;157;3;;;;;;;
SANTO AMARO DO MARANHÃO;72;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;625;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;872;7;;;;;;;
SÃO BENTO;457;5;;;;;;;
SÃO BERNARDO;826;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;129;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1218;8;;;;;;;
SÃO FÉLIX DE BALSAS;126;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;264;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;67;0;;;;;;;
SÃO JOÃO BATISTA;112;5;;;;;;;
SÃO JOÃO DO CARÚ;357;5;;;;;;;
SÃO JOÃO DO PARAÍSO;87;2;;;;;;;
SÃO JOÃO DO SÓTER;419;2;;;;;;;
SÃO JOÃO DOS PATOS;889;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1141;110;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;159;0;;;;;;;
SÃO LUÍS;17865;1191;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;494;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1075;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;336;1;;;;;;;
SÃO PEDRO DOS CRENTES;101;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1249;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;164;2;;;;;;;
SÃO VICENTE FERRER;198;1;;;;;;;
SATUBINHA;127;1;;;;;;;
SENADOR ALEXANDRE COSTA;320;1;;;;;;;
SENADOR LA ROCQUE;176;8;;;;;;;
SERRANO DO MARANHÃO;142;2;;;;;;;
SÍTIO NOVO;406;3;;;;;;;
SUCUPIRA DO NORTE;65;0;;;;;;;
SUCUPIRA DO RIACHÃO;77;0;;;;;;;
TASSO FRAGOSO;151;0;;;;;;;
TIMBIRAS;332;3;;;;;;;
TIMON;3085;99;;;;;;;
TRIZIDELA DO VALE;603;7;;;;;;;
TUFILÂNDIA;59;5;;;;;;;
TUNTUM;1166;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;304;4;;;;;;;
TUTÓIA;964;22;;;;;;;
URBANO SANTOS;1346;14;;;;;;;
VARGEM GRANDE;722;10;;;;;;;
VIANA;274;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;230;0;;;;;;;
VITÓRIA DO MEARIM;629;6;;;;;;;
VITORINO FREIRE;1439;25;;;;;;;
ZÉ DOCA;3074;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
