;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;4170
AÇAILÂNDIA;3220;84;;5.125;192.357;162476;;10 a 19 anos;11597
AFONSO CUNHA;151;2;;;;;;20 a 29 anos;26377
ÁGUA DOCE DO MARANHÃO;642;5;;CASOS NOVOS;;;;30 a 39 anos;34549
ALCÂNTARA;137;7;;Grande Ilha;96;;;40 a 49 anos;27427
ALDEIAS ALTAS;877;4;;Imperatriz;31;;;50 a 59 anos;19173
ALTAMIRA DO MARANHÃO;270;5;;Demais Regiões;355;;;60 a 70 anos;13854
ALTO ALEGRE DO MARANHÃO;348;11;;;;;;Mais de 70 anos;11215
ALTO ALEGRE DO PINDARÉ;1383;19;;;;;;Não informado;14114
ALTO PARNAÍBA;270;2;;CASOS CONFIRMADOS;;;;TOTAL;162476
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;923;18;;Ativos;6435;Isolamento Domiciliar ;6034;;
ANAJATUBA;332;8;;;;Internação Enfermaria;252;Rede Pública;203
ANAPURUS;710;6;;;;;;Rede Privada;49
APICUM-AÇU;197;3;;;;Internação UTI;149;Rede Pública;127
ARAGUANÃ;528;2;;;;;;Rede Privada;22
ARAIOSES;574;10;;Óbitos;3569;;;; 
ARAME;907;9;;Recuperados;152472;;;;
ARARI;197;9;;;;;;GRANDE ILHA*;
AXIXÁ;133;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3230;50;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;147;2;;HOMEM;72635;45%;;Leitos ocupados;52
BACURI;412;3;;MULHER;89841;55%;;Leitos livres;330
BACURITUBA;45;0;;;;;;% de ocupação;13,61%
BALSAS;6053;48;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;3630;30;;3404;3319;62;;Total de leitos UTI;152
BARREIRINHAS;865;23;;;;;;Leitos ocupados UTI;49
BELA VISTA DO MARANHÃO;127;3;;;;;;Leitos livres;103
BELÁGUA;247;1;;TESTES REALIZADOS;;;;% de ocupação UTI;32,24%
BENEDITO LEITE;176;0;;LABORATÓRIO PÚBLICO;699;;;;
BEQUIMÃO;232;11;;LABORATÓRIO PRIVADO;474;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;356.341;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;357514;;;Total de leitos;552
BOM JARDIM;870;22;;;;;;Leitos ocupados;86
BOM JESUS DAS SELVAS;1577;10;;;;;;Leitos livres; 
BOM LUGAR;257;1;;ÓBITOS DE COVID-19;;;;% de ocupação;15,58%
BREJO;671;18;;;;;;;
BREJO DE AREIA;201;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;592;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;413;1;;10 a 19 anos;15;;;Leitos ocupados UTI;38
BURITICUPU;2195;4;;20 a 29 anos;36;;;Leitos livres;177
BURITIRANA;236;6;;30 a 39 anos;114;;;% de ocupação UTI;17,67%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;207;;;;
CAJAPIÓ;5;2;;50 a 59 anos;384;;;IMPERATRIZ;
CAJARI;131;4;;60 a 69 anos;808;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;439;5;;Mais de 70 anos;1986;;;Total de leitos;81
CÂNDIDO MENDES;86;4;;TOTAL;3569;;;Leitos ocupados;65
CANTANHEDE;381;3;;;;;;Leitos livres;16
CAPINZAL DO NORTE;363;1;;;;;;% de ocupação;80,25%
CAROLINA;369;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;358;17;;HOMEM;2197;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;4237;81;;MULHER;1372;38%;;Total de leitos UTI;54
CEDRAL;132;0;;;;;;Leitos ocupados UTI;40
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;14
CENTRO DO GUILHERME;344;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;74,07%
CENTRO NOVO DO MARANHÃO;623;7;;COM COMORBIDADES ;3017;85%;;;
CHAPADINHA;2688;45;;SEM COMORBIDADES ;552;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;303;1;;;;;;;
CODÓ;1809;57;;;;;;;
COELHO NETO;1559;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1649;28;;NEUROLÓGICO;200;;;;
CONCEIÇÃO DO LAGO-AÇU;162;6;;ONCOLÓGICO;131;;;RAÇA/COR;
COROATÁ;1585;10;;PNEUMOPATIA;55;;;AMARELA;32.132
CURURUPU;509;7;;CARDIOPATIA;443;;;BRANCA;17.889
DAVINÓPOLIS;261;7;;DOENÇA RENAL CRÔNICA;205;;;INDIGENA;1.093
DOM PEDRO;349;2;;DIABETES MELITUS;1370;;;PARDA;62.902
DUQUE BACELAR;394;8;;HIPERTENSÃO ARTERIAL;1953;;;PRETA;6.254
ESPERANTINÓPOLIS;623;13;;SEM COMORBIDADES;552;;;SEM INFORMAÇÃO;42.206
ESTREITO;2656;7;;OBESIDADE;151;;;TOTAL;162.476
FEIRA NOVA DO MARANHÃO;625;2;;OUTROS;477;;;;
FERNANDO FALCÃO;738;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;657;1;;;;;;PARDA;1816
FORTALEZA DOS NOGUEIRAS;592;2;;;;;;BRANCA;444
FORTUNA;589;1;;;;;;PRETA;241
GODOFREDO VIANA;86;3;;;;;;AMARELA;211
GONÇALVES DIAS;370;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;325;5;;;;;;TOTAL;3.569
GOVERNADOR EUGÊNIO BARROS;200;0;;;;;;;
GOVERNADOR LUIZ ROCHA;116;0;;;;;;;
GOVERNADOR NEWTON BELLO;471;4;;;;;;;
GOVERNADOR NUNES FREIRE;655;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2552;38;;;;;;;
GUIMARÃES;218;4;;;;;;;
HUMBERTO DE CAMPOS;644;5;;;;;;;
ICATU;215;6;;;;;;;
IGARAPÉ DO MEIO;256;9;;;;;;;
IGARAPÉ GRANDE;943;8;;;;;;;
IMPERATRIZ;5687;312;;;;;;;
ITAIPAVA DO GRAJAÚ;478;3;;;;;;;
ITAPECURU-MIRIM;763;11;;;;;;;
ITINGA DO MARANHÃO;583;12;;;;;;;
JATOBÁ;76;4;;;;;;;
JENIPAPO DOS VIEIRAS;744;9;;;;;;;
JOÃO LISBOA;260;10;;;;;;;
JOSELÂNDIA;425;0;;;;;;;
JUNCO DO MARANHÃO;192;0;;;;;;;
LAGO DA PEDRA;1220;43;;;;;;;
LAGO DO JUNCO;226;1;;;;;;;
LAGO DOS RODRIGUES;393;7;;;;;;;
LAGO VERDE;499;4;;;;;;;
LAGOA DO MATO;3;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;4;;;;;;;
LAJEADO NOVO;170;0;;;;;;;
LIMA CAMPOS;686;6;;;;;;;
LORETO;346;3;;;;;;;
LUÍS DOMINGUES;176;1;;;;;;;
MAGALHÃES DE ALMEIDA;399;4;;;;;;;
MARACAÇUMÉ;500;3;;;;;;;
MARAJÁ DO SENA;154;3;;;;;;;
MARANHÃOZINHO;423;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;261;3;;;;;;;
MATÕES;404;8;;;;;;;
MATÕES DO NORTE;222;1;;;;;;;
MILAGRES DO MARANHÃO;176;1;;;;;;;
MIRADOR;608;3;;;;;;;
MIRANDA DO NORTE;141;9;;;;;;;
MIRINZAL;130;6;;;;;;;
MONÇÃO;657;15;;;;;;;
MONTES ALTOS;410;4;;;;;;;
MORROS;141;7;;;;;;;
NINA RODRIGUES;212;4;;;;;;;
NOVA COLINAS;102;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;502;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;631;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;373;4;;;;;;;
PARNARAMA;531;0;;;;;;;
PASSAGEM FRANCA;463;0;;;;;;;
PASTOS BONS;432;2;;;;;;;
PAULINO NEVES;154;2;;;;;;;
PAULO RAMOS;838;12;;;;;;;
PEDREIRAS;1570;35;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;223;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;338;3;;;;;;;
PINDARÉ-MIRIM;583;11;;;;;;;
PINHEIRO;1937;34;;;;;;;
PIO XII;841;6;;;;;;;
PIRAPEMAS;249;3;;;;;;;
POÇÃO DE PEDRAS;1010;3;;;;;;;
PORTO FRANCO;823;9;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1378;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;235;0;;;;;;;
PRESIDENTE SARNEY;169;7;;;;;;;
PRESIDENTE VARGAS;59;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;139;13;;;;;;;
RIACHÃO;571;6;;;;;;;
RIBAMAR FIQUENE;158;8;;;;;;;
ROSÁRIO;379;11;;;;;;;
SAMBAÍBA;273;2;;;;;;;
SANTA FILOMENA DO MARANHÃO;45;0;;;;;;;
SANTA HELENA;1365;6;;;;;;;
SANTA INÊS;4327;71;;;;;;;
SANTA LUZIA;2521;16;;;;;;;
SANTA LUZIA DO PARUÁ;454;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;444;15;;;;;;;
SANTA RITA;269;13;;;;;;;
SANTANA DO MARANHÃO;165;3;;;;;;;
SANTO AMARO DO MARANHÃO;83;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;701;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;958;7;;;;;;;
SÃO BENTO;467;6;;;;;;;
SÃO BERNARDO;845;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;152;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1437;9;;;;;;;
SÃO FÉLIX DE BALSAS;181;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;333;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;102;0;;;;;;;
SÃO JOÃO BATISTA;129;5;;;;;;;
SÃO JOÃO DO CARÚ;399;5;;;;;;;
SÃO JOÃO DO PARAÍSO;121;2;;;;;;;
SÃO JOÃO DO SÓTER;569;2;;;;;;;
SÃO JOÃO DOS PATOS;1174;9;;;;;;;
SÃO JOSÉ DE RIBAMAR;1263;113;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;239;0;;;;;;;
SÃO LUÍS;19557;1220;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;605;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1130;26;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;428;1;;;;;;;
SÃO PEDRO DOS CRENTES;168;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1589;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;75;2;;;;;;;
SÃO ROBERTO;246;2;;;;;;;
SÃO VICENTE FERRER;201;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;358;1;;;;;;;
