;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1929
AÇAILÂNDIA;2804;66;;5798;122683;106325;;10 a 19 anos;6195
AFONSO CUNHA;128;1;;;;;;20 a 29 anos;15947
ÁGUA DOCE DO MARANHÃO;536;5;;CASOS NOVOS;;;;30 a 39 anos;21890
ALCÂNTARA;37;5;;Grande Ilha;95;;;40 a 49 anos;17650
ALDEIAS ALTAS;233;0;;Imperatriz;1;;;50 a 59 anos;12354
ALTAMIRA DO MARANHÃO;204;5;;Demais Regiões;137;;;60 a 70 anos;9195
ALTO ALEGRE DO MARANHÃO;322;11;;;;;;Mais de 70 anos;7731
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13434
ALTO PARNAÍBA;95;1;;CASOS CONFIRMADOS;;;;TOTAL;106325
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;649;11;;Ativos;12660;Isolamento Domiciliar ;12028;;
ANAJATUBA;271;6;;;;Internação Enfermaria;365;Rede Pública;302
ANAPURUS;656;6;;;;;;Rede Privada;63
APICUM-AÇU;197;3;;;;Internação UTI;267;Rede Pública;230
ARAGUANÃ;426;2;;;;;;Rede Privada;37
ARAIOSES;483;8;;Óbitos;2708;;;;
ARAME;190;4;;Recuperados;90957;;;;
ARARI;185;6;;;;;;GRANDE ILHA*;
AXIXÁ;95;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2761;34;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;47843;45%;;Leitos ocupados;91
BACURI;377;2;;MULHER;58482;55%;;Leitos livres;291
BACURITUBA;21;0;;;;;;% de ocupação;23,82%
BALSAS;1831;11;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2191;18;;2770;2689;53;;Total de leitos UTI;164
BARREIRINHAS;389;18;;;;;;Leitos ocupados UTI;96
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;68
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;58,54%
BENEDITO LEITE;35;0;;LABORATÓRIO PÚBLICO;1101;;;;
BEQUIMÃO;191;10;;LABORATÓRIO PRIVADO;91;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;228745;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;2;;TOTAL;229937;;;Total de leitos;618
BOM JARDIM;625;16;;;;;;Leitos ocupados;162
BOM JESUS DAS SELVAS;988;6;;;;;;Leitos livres;456
BOM LUGAR;161;0;;ÓBITOS DE COVID-19;;;;% de ocupação;26,21%
BREJO;547;15;;;;;;;
BREJO DE AREIA;111;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;295;0;;0 a 9 anos;15;;;Total de leitos UTI;219
BURITI BRAVO;83;0;;10 a 19 anos;14;;;Leitos ocupados UTI;99
BURITICUPU;1645;4;;20 a 29 anos;26;;;Leitos livres;120
BURITIRANA;209;6;;30 a 39 anos;91;;;% de ocupação UTI;45,21%
CACHOEIRA GRANDE;128;3;;40 a 49 anos;159;;;;
CAJAPIÓ;5;2;;50 a 59 anos;284;;;IMPERATRIZ;
CAJARI;120;1;;60 a 69 anos;648;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;210;1;;Mais de 70 anos;1471;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2708;;;Leitos ocupados;49
CANTANHEDE;380;2;;;;;;Leitos livres;32
CAPINZAL DO NORTE;285;0;;;;;;% de ocupação;60,49%
CAROLINA;193;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;254;15;;HOMEM;1675;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2382;54;;MULHER;1033;38%;;Total de leitos UTI;54
CEDRAL;104;0;;;;;;Leitos ocupados UTI;35
CENTRAL DO MARANHÃO;17;1;;;;;;Leitos livres;19
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;64,81%
CENTRO NOVO DO MARANHÃO;358;5;;COM COMORBIDADES;2366;87%;;;
CHAPADINHA;2399;35;;SEM COMORBIDADES;342;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;245;0;;;;;;;
CODÓ;1793;15;;;;;;;
COELHO NETO;1296;29;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;882;19;;NEUROLÓGICO;156;;;;
CONCEIÇÃO DO LAGO-AÇU;144;3;;ONCOLÓGICO;97;;;RAÇA/COR;
COROATÁ;626;8;;PNEUMOPATIA;24;;;AMARELA;15.911
CURURUPU;300;7;;CARDIOPATIA;293;;;BRANCA;9.520
DAVINÓPOLIS;205;7;;DOENÇA RENAL CRÔNICA;151;;;INDIGENA;403
DOM PEDRO;49;1;;DIABETES MELITUS;1001;;;PARDA;36.580
DUQUE BACELAR;277;5;;HIPERTENSÃO ARTERIAL;1454;;;PRETA;3.617
ESPERANTINÓPOLIS;577;11;;SEM COMORBIDADES;376;;;SEM INFORMAÇÃO;40.294
ESTREITO;784;7;;OBESIDADE;109;;;TOTAL;106.325
FEIRA NOVA DO MARANHÃO;66;1;;OUTROS;351;;;;
FERNANDO FALCÃO;509;0;;;;;;;
FORMOSA DA SERRA NEGRA;175;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;142;0;;;;;;ÓBITOS RAÇA/COR;
FORTUNA;180;0;;;;;;PARDA;1230
GODOFREDO VIANA;74;3;;;;;;BRANCA;281
GONÇALVES DIAS;172;1;;;;;;PRETA;165
GOVERNADOR ARCHER;211;0;;;;;;AMARELA;195
GOVERNADOR EDISON LOBÃO;175;4;;;;;;INDÍGENA;10
GOVERNADOR EUGÊNIO BARROS;154;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR LUIZ ROCHA;56;0;;;;;;TOTAL;2.708
GOVERNADOR NEWTON BELLO;374;4;;;;;;;
GOVERNADOR NUNES FREIRE;582;2;;;;;;;
GRAÇA ARANHA;117;2;;;;;;;
GRAJAÚ;1489;19;;;;;;;
GUIMARÃES;165;4;;;;;;;
HUMBERTO DE CAMPOS;328;4;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;176;7;;;;;;;
IGARAPÉ GRANDE;766;5;;;;;;;
IMPERATRIZ;4544;221;;;;;;;
ITAIPAVA DO GRAJAÚ;163;0;;;;;;;
ITAPECURU-MIRIM;534;7;;;;;;;
ITINGA DO MARANHÃO;441;11;;;;;;;
JATOBÁ;30;0;;;;;;;
JENIPAPO DOS VIEIRAS;164;3;;;;;;;
JOÃO LISBOA;207;8;;;;;;;
JOSELÂNDIA;303;0;;;;;;;
JUNCO DO MARANHÃO;111;0;;;;;;;
LAGO DA PEDRA;1001;40;;;;;;;
LAGO DO JUNCO;143;1;;;;;;;
LAGO DOS RODRIGUES;221;4;;;;;;;
LAGO VERDE;400;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;3;;;;;;;
LAJEADO NOVO;45;0;;;;;;;
LIMA CAMPOS;484;4;;;;;;;
LORETO;65;0;;;;;;;
LUÍS DOMINGUES;49;1;;;;;;;
MAGALHÃES DE ALMEIDA;135;4;;;;;;;
MARACAÇUMÉ;429;1;;;;;;;
MARAJÁ DO SENA;123;2;;;;;;;
MARANHÃOZINHO;314;3;;;;;;;
MATA ROMA;323;6;;;;;;;
MATINHA;216;1;;;;;;;
MATÕES;189;2;;;;;;;
MATÕES DO NORTE;151;1;;;;;;;
MILAGRES DO MARANHÃO;121;1;;;;;;;
MIRADOR;193;2;;;;;;;
MIRANDA DO NORTE;136;5;;;;;;;
MIRINZAL;102;6;;;;;;;
MONÇÃO;271;13;;;;;;;
