;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1975
AÇAILÂNDIA;2788;66;;5728;124596;108.154;;10 a 19 anos;6366
AFONSO CUNHA;128;2;;;;;;20 a 29 anos;16258
ÁGUA DOCE DO MARANHÃO;540;5;;CASOS NOVOS;;;;30 a 39 anos;22267
ALCÂNTARA;37;5;;Grande Ilha;80;;;40 a 49 anos;17928
ALDEIAS ALTAS;275;0;;Imperatriz;5;;;50 a 59 anos;12583
ALTAMIRA DO MARANHÃO;208;5;;Demais Regiões;1.163;;;60 a 70 anos;9372
ALTO ALEGRE DO MARANHÃO;321;11;;;;;;Mais de 70 anos;7847
ALTO ALEGRE DO PINDARÉ;1186;3;;;;;;Não informado;13558
ALTO PARNAÍBA;96;1;;CASOS CONFIRMADOS;;;;TOTAL;108154
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;647;11;;Ativos;12522;Isolamento Domiciliar ;11921;;
ANAJATUBA;273;6;;;;Internação Enfermaria;351;Rede Pública;295
ANAPURUS;648;6;;;;;;Rede Privada;56
APICUM-AÇU;197;3;;;;Internação UTI;250;Rede Pública;214
ARAGUANÃ;434;2;;;;;;Rede Privada;36
ARAIOSES;495;9;;Óbitos;2.778;;;;
ARAME;211;4;;Recuperados;92854;;;;
ARARI;186;6;;;;;;GRANDE ILHA*;
AXIXÁ;104;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2786;35;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;130;1;;HOMEM;48691;45%;;Leitos ocupados;93
BACURI;377;2;;MULHER;59463;55%;;Leitos livres;289
BACURITUBA;21;0;;;;;;% de ocupação;24,35%
BALSAS;1890;11;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2275;18;;2791;2703;54;;Total de leitos UTI;152
BARREIRINHAS;399;18;;;;;;Leitos ocupados UTI;91
BELA VISTA DO MARANHÃO;112;2;;;;;;Leitos livres;61
